"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.10604867096E-001, +0.00000000000E+000
+2.79981250000E+006, -1.02360284699E-003, +0.00000000000E+000
+5.29962500000E+006, +3.28528876497E-003, +0.00000000000E+000
+7.79943750000E+006, -2.56939432490E-003, +0.00000000000E+000
+1.02992500000E+007, -1.34104977459E-002, +0.00000000000E+000
+1.27990625000E+007, -1.20650969019E-002, +0.00000000000E+000
+1.52988750000E+007, -6.70146057062E-003, +0.00000000000E+000
+1.77986875000E+007, -1.09912742037E-002, +0.00000000000E+000
+2.02985000000E+007, -1.55144157276E-002, +0.00000000000E+000
+2.27983125000E+007, -1.71212761704E-002, +0.00000000000E+000
+2.52981250000E+007, -1.62658376576E-002, +0.00000000000E+000
+2.77979375000E+007, -1.71267460753E-002, +0.00000000000E+000
+3.02977500000E+007, -1.96773444153E-002, +0.00000000000E+000
+3.27975625000E+007, -2.07894139849E-002, +0.00000000000E+000
+3.52973750000E+007, -2.13855936697E-002, +0.00000000000E+000
+3.77971875000E+007, -2.08314531844E-002, +0.00000000000E+000
+4.02970000000E+007, -2.09758772227E-002, +0.00000000000E+000
+4.27968125000E+007, -2.31877527863E-002, +0.00000000000E+000
+4.52966250000E+007, -2.29406107244E-002, +0.00000000000E+000
+4.77964375000E+007, -2.50040473873E-002, +0.00000000000E+000
+5.02962500000E+007, -2.59757323133E-002, +0.00000000000E+000
+5.27960625000E+007, -2.80748373157E-002, +0.00000000000E+000
+5.52958750000E+007, -2.94657389018E-002, +0.00000000000E+000
+5.77956875000E+007, -3.22584831265E-002, +0.00000000000E+000
+6.02955000000E+007, -3.34020670496E-002, +0.00000000000E+000
+6.27953125000E+007, -3.43194075747E-002, +0.00000000000E+000
+6.52951250000E+007, -3.57741154606E-002, +0.00000000000E+000
+6.77949375000E+007, -3.71587259618E-002, +0.00000000000E+000
+7.02947500000E+007, -3.87874035964E-002, +0.00000000000E+000
+7.27945625000E+007, -3.96662326557E-002, +0.00000000000E+000
+7.52943750000E+007, -4.08190707436E-002, +0.00000000000E+000
+7.77941875000E+007, -4.32782957607E-002, +0.00000000000E+000
+8.02940000000E+007, -4.34143292394E-002, +0.00000000000E+000
+8.27938125000E+007, -4.58189356321E-002, +0.00000000000E+000
+8.52936250000E+007, -4.58162508264E-002, +0.00000000000E+000
+8.77934375000E+007, -4.81060574382E-002, +0.00000000000E+000
+9.02932500000E+007, -4.80180320415E-002, +0.00000000000E+000
+9.27930625000E+007, -4.89562465430E-002, +0.00000000000E+000
+9.52928750000E+007, -4.84715708741E-002, +0.00000000000E+000
+9.77926875000E+007, -4.94561827008E-002, +0.00000000000E+000
+1.00292500000E+008, -5.27505076201E-002, +0.00000000000E+000
+1.02792312500E+008, -5.44232395293E-002, +0.00000000000E+000
+1.05292125000E+008, -5.76597960896E-002, +0.00000000000E+000
+1.07791937500E+008, -6.18651503898E-002, +0.00000000000E+000
+1.10291750000E+008, -6.14802346488E-002, +0.00000000000E+000
+1.12791562500E+008, -6.33376990958E-002, +0.00000000000E+000
+1.15291375000E+008, -6.54413199673E-002, +0.00000000000E+000
+1.17791187500E+008, -6.51855939571E-002, +0.00000000000E+000
+1.20291000000E+008, -6.86642772675E-002, +0.00000000000E+000
+1.22790812500E+008, -6.87051434684E-002, +0.00000000000E+000
+1.25290625000E+008, -6.97521587186E-002, +0.00000000000E+000
+1.27790437500E+008, -6.99608296131E-002, +0.00000000000E+000
+1.30290250000E+008, -7.09084870851E-002, +0.00000000000E+000
+1.32790062500E+008, -7.12607218567E-002, +0.00000000000E+000
+1.35289875000E+008, -7.28467797289E-002, +0.00000000000E+000
+1.37789687500E+008, -7.16323008234E-002, +0.00000000000E+000
+1.40289500000E+008, -7.12058985647E-002, +0.00000000000E+000
